,Problem,,,Constructive Algorithm,,Local Search,,,GRASP,
Input Filename,|V|,|E|,randomised,simple_greedy,semi-greedy,Iterations,Best Value,Iterations,Best Value,Constructive Algorithm
set1/g12.rud,800,1600,397,448,413,14,439,50,476,semi-greedy
set1/g13.rud,800,1600,418,474,428,19,456,50,476,randomised
set1/g13.rud,800,1600,418,474,428,6,498,50,518,simple_greedy
set1/g13.rud,800,1600,418,474,428,15,467,50,508,semi-greedy
set1/g14.rud,800,4694,2865,2943,2933,49,2936,50,2957,randomised
set1/g14.rud,800,4694,2865,2943,2933,21,2971,50,2992,simple_greedy
set1/g14.rud,800,4694,2865,2943,2933,25,2965,50,2984,semi-greedy
set1/g15.rud,800,4661,2845,2915,2913,50,2919,50,2942,randomised
set1/g15.rud,800,4661,2845,2915,2913,21,2947,50,2962,simple_greedy
set1/g15.rud,800,4661,2845,2915,2913,25,2946,50,2969,semi-greedy
set1/g16.rud,800,4672,2854,2940,2917,49,2922,50,2956,randomised
set1/g16.rud,800,4672,2854,2940,2917,23,2954,50,2980,simple_greedy
set1/g16.rud,800,4672,2854,2940,2917,26,2949,50,2977,semi-greedy
set1/g17.rud,800,4667,2854,2932,2907,51,2919,50,2953,randomised
set1/g17.rud,800,4667,2854,2932,2907,23,2949,50,2963,simple_greedy
set1/g17.rud,800,4667,2854,2932,2907,26,2949,50,2971,semi-greedy
set1/g18.rud,800,4694,694,839,721,78,831,50,866,randomised
set1/g18.rud,800,4694,694,839,721,31,881,50,919,simple_greedy
set1/g18.rud,800,4694,694,839,721,65,845,50,901,semi-greedy
set1/g19.rud,800,4661,611,795,642,77,746,50,798,randomised
set1/g19.rud,800,4661,611,795,642,32,799,50,836,simple_greedy
set1/g19.rud,800,4661,611,795,642,70,757,50,805,semi-greedy
set1/g20.rud,800,4672,652,785,673,73,770,50,816,randomised
set1/g20.rud,800,4672,652,785,673,32,830,50,878,simple_greedy
set1/g20.rud,800,4672,652,785,673,65,787,50,845,semi-greedy
set1/g21.rud,800,4667,634,755,669,82,771,50,813,randomised
set1/g21.rud,800,4667,634,755,669,34,820,50,862,simple_greedy
set1/g21.rud,800,4667,634,755,669,69,782,50,838,semi-greedy
set1/g22.rud,2000,19990,12365,12775,12620,260,12805,50,12880,randomised
set1/g22.rud,2000,19990,12365,12775,12620,98,12958,50,13044,simple_greedy
set1/g22.rud,2000,19990,12365,12775,12620,169,12882,50,13011,semi-greedy
set1/g23.rud,2000,19990,12352,12784,12631,257,12822,50,12936,randomised
set1/g23.rud,2000,19990,12352,12784,12631,94,12955,50,13043,simple_greedy
set1/g23.rud,2000,19990,12352,12784,12631,174,12881,50,12984,semi-greedy
set1/g24.rud,2000,19990,12354,12819,12642,256,12818,50,12925,randomised
set1/g24.rud,2000,19990,12354,12819,12642,97,12952,50,13018,simple_greedy
set1/g24.rud,2000,19990,12354,12819,12642,173,12897,50,12991,semi-greedy
